,T2,RRR,PE,HBV_snowpack,HBV_soil_moisture,HBV_AET,HBV_upper_gw,HBV_lower_gw,Q_HBV,DDM_smb,DDM_accumulation_rate,DDM_ice_melt_rate,DDM_snow_melt_rate,DDM_total_melt,Q_DDM,Qobs,Q_Total
2011-01-01,252.76757300652946,0.01049041748046875,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,6.385592453247639e-06,0.01049041748046875,0.01049041748046875,0.0,0.0,0.0,0.0,0.0,6.385592453247639e-06
2011-01-02,248.84452528197323,0.004291534423828125,0.0,0.003204074096679687,0.0001,0.0,0.0,0.000192,2.5834700403979244e-05,0.004291534423828125,0.004291534423828125,0.0,0.0,0.0,0.0,0.0,2.5834700403979244e-05
2011-01-03,248.9911249281122,0.0,0.0,0.003204074096679687,0.0001,0.0,0.0,0.00018432,4.240983440591826e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.240983440591826e-05
2011-01-04,253.45251793099283,0.032901763916015625,0.0,0.026235308837890624,0.0001,0.0,0.0,0.00017694719999999999,3.6443274058032395e-05,0.05817413330078125,0.05817413330078125,0.0,0.0,0.0,0.0,0.0,3.6443274058032395e-05
2011-01-05,252.38901074202178,0.20456314086914062,0.0,0.16942950744628907,0.0001,0.0,0.0,0.00016986931199999998,1.7071694924312315e-05,0.18453598022460938,0.18453598022460938,0.0,0.0,0.0,0.0,0.0,1.7071694924312315e-05
2011-01-06,248.13036471639103,0.0209808349609375,0.0,0.18411609191894532,0.0001,0.0,0.0,0.00016307453952,3.4427875267139083e-06,0.015735626220703125,0.015735626220703125,0.0,0.0,0.0,0.0,0.0,3.4427875267139083e-06
2011-01-07,249.27697183121913,0.0,0.0,0.18411609191894532,0.0001,0.0,0.0,0.0001565515579392,7.867422074495313e-07,0.00095367431640625,0.00095367431640625,0.0,0.0,0.0,0.0,0.0,7.867422074495313e-07
2011-01-08,247.8124297194163,0.005245208740234375,0.0,0.18778773803710938,0.0001,0.0,0.0,0.000150289495621632,3.966877797899796e-06,0.004291534423828125,0.004291534423828125,0.0,0.0,0.0,0.0,0.0,3.966877797899796e-06
2011-01-09,247.61488564120225,0.0,0.0,0.18778773803710938,0.0001,0.0,0.0,0.0001442779157967667,7.004697405733087e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.004697405733087e-06
2011-01-10,252.12146477029546,0.0,0.0,0.18778773803710938,0.0001,0.0,0.0,0.00013850679916489603,7.673409845211189e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.673409845211189e-06
2011-01-11,253.4638834098062,0.0,0.0,0.18778773803710938,0.0001,0.0,0.0,0.0001329665271983002,6.760968083834656e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.760968083834656e-06
2011-01-12,251.91326460267112,0.0,0.0,0.18778773803710938,0.0001,0.0,0.0,0.00012764786611036818,5.691756277012954e-06,0.001430511474609375,0.001430511474609375,0.0,0.0,0.0,0.0,0.0,5.691756277012954e-06
2011-01-13,251.51157572724603,0.01430511474609375,0.0,0.197801318359375,0.0001,0.0,0.0,0.00012254195146595346,5.146040976917475e-06,0.012874603271484375,0.012874603271484375,0.0,0.0,0.0,0.0,0.0,5.146040976917475e-06
2011-01-14,252.76224020227167,0.0,0.0,0.197801318359375,0.0001,0.0,0.0,0.00011764027340731532,5.034244461861195e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.034244461861195e-06
2011-01-15,254.9645554732482,0.0,0.0,0.197801318359375,0.0001,0.0,0.0,0.00011293466247102271,5.024325077460896e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.024325077460896e-06
2011-01-16,255.4447971680404,0.0,0.0,0.197801318359375,0.0001,0.0,0.0,0.00010841727597218181,4.919737938244279e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.919737938244279e-06
2011-01-17,255.7377337211045,0.0,0.0,0.197801318359375,0.0001,0.0,0.0,0.00010408058493329454,4.714458864737204e-06,0.000476837158203125,0.000476837158203125,0.0,0.0,0.0,0.0,0.0,4.714458864737204e-06
2011-01-18,255.43983866891475,0.7567405700683594,0.0,0.7275197174072265,0.0001,0.0,0.0,9.991736153596276e-05,4.481819815191023e-06,0.766754150390625,0.766754150390625,0.0,0.0,0.0,0.0,0.0,4.481819815191023e-06
2011-01-19,252.1214970508294,0.22172927856445312,0.0,0.8827302124023437,0.0001,0.0,0.0,9.592066707452424e-05,4.275159033088936e-06,0.21123886108398438,0.21123886108398438,0.0,0.0,0.0,0.0,0.0,4.275159033088936e-06
2011-01-20,250.06491263002556,0.01049041748046875,0.0,0.8900735046386719,0.0001,0.0,0.0,9.208384039154327e-05,4.10247357625652e-06,0.01049041748046875,0.01049041748046875,0.0,0.0,0.0,0.0,0.0,4.10247357625652e-06
2011-01-21,250.06187280355792,0.012874603271484375,0.0,0.8990857269287109,0.0001,0.0,0.0,8.840048677588153e-05,3.94803926393564e-06,0.012874603271484375,0.012874603271484375,0.0,0.0,0.0,0.0,0.0,3.94803926393564e-06
2011-01-22,253.1485709768102,0.0133514404296875,0.0,0.9084317352294922,0.0001,0.0,0.0,8.486446730484627e-05,3.7975263188434894e-06,0.02384185791015625,0.02384185791015625,0.0,0.0,0.0,0.0,0.0,3.7975263188434894e-06
2011-01-23,254.85663240758754,0.1125335693359375,0.0,0.9872052337646484,0.0001,0.0,0.0,8.146988861265242e-05,3.646971312792281e-06,0.10251998901367188,0.10251998901367188,0.0,0.0,0.0,0.0,0.0,3.646971312792281e-06
2011-01-24,254.19470981814877,0.16927719116210938,0.0,1.105699267578125,0.0001,0.0,0.0,7.821109306814632e-05,3.4991004681761076e-06,0.17452239990234375,0.17452239990234375,0.0,0.0,0.0,0.0,0.0,3.4991004681761076e-06
2011-01-25,252.8741608065893,0.7562637329101562,0.0,1.6350838806152344,0.0001,0.0,0.0,7.508264934542046e-05,3.357213798292244e-06,0.7505416870117188,0.7505416870117188,0.0,0.0,0.0,0.0,0.0,3.357213798292244e-06
2011-01-26,250.38040930589082,0.3361701965332031,0.0,1.8704030181884765,0.0001,0.0,0.0,7.207934337160364e-05,3.222371715365516e-06,0.33855438232421875,0.33855438232421875,0.0,0.0,0.0,0.0,0.0,3.222371715365516e-06
2011-01-27,250.3115437451173,0.006198883056640625,0.0,1.874742236328125,0.0001,0.0,0.0,6.919616963673949e-05,3.093851294085437e-06,0.003814697265625,0.003814697265625,0.0,0.0,0.0,0.0,0.0,3.093851294085437e-06
